PlayerID,Occupation,Name,MatchedSocCode,MatchedSocCore,MatchedSocTitle
5988,state fair coordinator,Peter Latouf,False,,
5989,park ranger,Evelyn Chester,False,,
5982,homemaker and volunteer,Sue Romberg,False,,
5983,lawyer,Alex Hooper,23-MiscLaywer,MiscLawer,MiscLawyer
5980,law student,Anthony Resnick,MiscStudent,MiscStudent,Student
5981,software project manager,Stefanie Tomko,False,,
5986,graduate student,Daniel Wilkinson,GradStu,Graduate student,Graduate student
5987,foreign service officer,Liz Murphy,False,,
5984,tea salesman,Wright Polak,False,,
5985,United Methodist pastor,Melanie Baker-Streevy,False,,
6796,attorney,Elizabeth Richards,23-MiscLaywer,MiscLawer,MiscLawyer
6797,telecommunications consultant,Ken Starnes,False,,
6794,fashion designer and TV personality,Isaac Mizrahi,False,,
6795,actress,Jane Curtin,27-2099CU,Actor,Actor
6792,actor,Neil Patrick Harris,27-2099CU,Actor,Actor
6793,actress,CCH Pounder,27-2099CU,Actor,Actor
6790,author and actor,Hill Harper,27-2099CU,Actor,Actor
6791,future Women's Basketball Hall of Famer and ESPN analyst,Rebecca Lobo,False,,
6798,electrical engineer,Rick Reed,17-MiscEngineer,MiscEngineer,Engineer
6799,creative writing and women's studies student,Amy Wilson,MiscStudent,MiscStudent,Student
270,student,Joanne Chan,MiscStudent,MiscStudent,Student
271,student,Robert Fielding,MiscStudent,MiscStudent,Student
272,office automation specialist,Robert Slaven,False,,
273,retired attorney,Richard Kaplan,23-MiscLaywer,MiscLawer,MiscLawyer
274,retired military Air Force officer,John Kelly,False,,
275,copywriter,Pat Gmeiner,27-Writer,MiscWriter,Writer
276,freelance photographer,David Burnett,27-4021CU,Photographers,Freelance Photographer
277,actuary,Bob Blake,False,,
278,college student,Brad Rutter,MiscStudent,MiscStudent,Student
279,customer service representative,Regina Sutton,False,,
2143,computer consultant and trainer,Linda Lin,False,,
2142,lexicographer,James Kossuth,False,,
3519,actor,Derek Doran-Wood,27-2099CU,Actor,Actor
3518,music teacher and mom,Peggy Pancella,25-MiscTeacher,Teacher,Teacher
3513,stay-at-home mom,Umiko Post,Unemployed,Unemployed,stay-at-home mom
3512,graduate student,Aaron Yeater,GradStu,Graduate student,Graduate student
3511,musician and graduate student,Shasa Dobrow,GradStu,Graduate student,Graduate student
3510,law student,Andy Seff,MiscStudent,MiscStudent,Student
3517,finish carpenter,Erik Rockom,47-2031,Carpenters,Finish Carpenter
3516,technical representative,Judy Taisch,False,,
3515,benefits consultant,Lori Wright,False,,
3514,technical writer,Lynda Del Genis,27-Writer,MiscWriter,Writer
2688,financial secretary and bartender,Connie Toohey,False,,
2689,purchasing manager,Jim Spilman,False,,
2684,teen novelist,Gillian Chan,False,,
2685,social worker,Susan Turi,False,,
2686,junior high school teacher,Monica Sousa,25-MiscTeacher,Teacher,Teacher
2687,graduate student,Michael Green,GradStu,Graduate student,Graduate student
2680,sales executive,Jack Campion,False,,
2681,assistant professor,Chris Mazurek,25-MiscTeacher,Teacher,Teacher
2682,substitute teacher,Jason Stuart,25-MiscTeacher,Teacher,Teacher
2683,youth minister,Joan Nelson,False,,
99,sophomore at St. John’s University,Vicky Manos,TournSophomore,TournStudent,Sophomore
98,junior at Carnegie Mellon University,Kermin Fleming,TournJunior,TournStudent,Junior
91,graduate student,Ryan Cook,GradStu,Graduate student,Graduate student
90,college student,Leo Wolpert,MiscStudent,MiscStudent,Student
93,animator,Robert Kirkpatrick,27-1014,Multimedia Artists and Animators,Animator
92,newspaper editor,Jennifer Peebles,False,,
95,graduate student,Jeff Hoppes,GradStu,Graduate student,Graduate student
94,graduate student,Dave Oosterhuis,GradStu,Graduate student,Graduate student
97,freshman at Davidson College,Amory Jendrek,TournFreshman,TournStudent,Freshman
96,sophomore at the University of Maryland,Casey Retterer,TournSophomore,TournStudent,Sophomore
1177,psychologist,Joel Silbert,False,,
1176,writer,Stuart Nadler,27-Writer,MiscWriter,Writer
1175,office assistant,Paul Tavianini,43-9061,"Office Clerks, General",Office Assistant
1174,elementary school principal,Barbara Walker,11-9032,"Education Administrators, Elementary and Secondary School",Elementary School Principal
1173,attorney,Glenn Jessee,23-MiscLaywer,MiscLawer,MiscLawyer
1172,training specialist,Susan Goldsamt,13-1151,Training and Development Specialists,Training Specialist
1171,"from Irvine, California...",Aman Birk,SpecialGuest,Special Guest,Special Guest
1170,"from Roselle, Illinois...",Veronica Fazio,SpecialGuest,Special Guest,Special Guest
1179,private tutor,Kim Strassburger,False,,
1178,health care consultant,Luis Gutierrez,False,,
7188,language arts middle school teacher,Marty Christy,25-MiscTeacher,Teacher,Teacher
7189,stay at home mother,Mai Do-Burrous,False,,
877,structural engineer,Kate Morrical,17-MiscEngineer,MiscEngineer,Engineer
7180,pizza maker,Johnny Marigliano,False,,
