PlayerID,Occupation,Name,MatchedSocCode,MatchedSocCore,MatchedSocTitle
3480,librarian,Karen Lempert,False,,
5988,state fair coordinator,Peter Latouf,False,,
5989,park ranger,Evelyn Chester,False,,
5982,homemaker and volunteer,Sue Romberg,False,,
5983,lawyer,Alex Hooper,23-1011,Lawyers,Lawyer
5980,law student,Anthony Resnick,False,,
5981,software project manager,Stefanie Tomko,False,,
5986,graduate student,Daniel Wilkinson,False,,
5987,foreign service officer,Liz Murphy,False,,
5984,tea salesman,Wright Polak,False,,
5985,United Methodist pastor,Melanie Baker-Streevy,False,,
6970,production manager,Richard Prince,False,,
6796,attorney,Elizabeth Richards,23-1011,Lawyers,Attorney
6797,telecommunications consultant,Ken Starnes,False,,
6794,fashion designer and TV personality,Isaac Mizrahi,False,,
6795,actress,Jane Curtin,27-2011,Actors,Actress
6792,actor,Neil Patrick Harris,False,,
6793,actress,CCH Pounder,27-2011,Actors,Actress
6790,author and actor,Hill Harper,False,,
6791,future Women's Basketball Hall of Famer and ESPN analyst,Rebecca Lobo,False,,
6798,electrical engineer,Rick Reed,17-2071,Electrical Engineers,Electrical Engineer
6799,creative writing and women's studies student,Amy Wilson,False,,
270,student,Joanne Chan,False,,
271,student,Robert Fielding,False,,
272,office automation specialist,Robert Slaven,False,,
273,retired attorney,Richard Kaplan,False,,
274,retired military Air Force officer,John Kelly,False,,
275,copywriter,Pat Gmeiner,27-3043,Writers and Authors,Copywriter
276,freelance photographer,David Burnett,False,,
277,actuary,Bob Blake,False,,
278,college student,Brad Rutter,False,,
279,customer service representative,Regina Sutton,False,,
2146,music director,Theresa Larson,27-2041,Music Directors and Composers,Music Director
3519,actor,Derek Doran-Wood,False,,
3518,music teacher and mom,Peggy Pancella,False,,
3513,stay-at-home mom,Umiko Post,False,,
3512,graduate student,Aaron Yeater,False,,
3511,musician and graduate student,Shasa Dobrow,False,,
3510,law student,Andy Seff,False,,
3517,finish carpenter,Erik Rockom,47-2031,Carpenters,Finish Carpenter
3516,technical representative,Judy Taisch,False,,
3515,benefits consultant,Lori Wright,False,,
3514,technical writer,Lynda Del Genis,27-3042,Technical Writers,Technical Writer
2688,financial secretary and bartender,Connie Toohey,False,,
2689,purchasing manager,Jim Spilman,False,,
2684,teen novelist,Gillian Chan,False,,
2685,social worker,Susan Turi,False,,
2686,junior high school teacher,Monica Sousa,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",Junior High School Teacher
2687,graduate student,Michael Green,False,,
2680,sales executive,Jack Campion,False,,
2681,assistant professor,Chris Mazurek,False,,
2682,substitute teacher,Jason Stuart,25-3099,"Teachers and Instructors, All Other",Substitute Teacher
2683,youth minister,Joan Nelson,False,,
99,sophomore at St. John’s University,Vicky Manos,False,,
98,junior at Carnegie Mellon University,Kermin Fleming,False,,
91,graduate student,Ryan Cook,False,,
90,college student,Leo Wolpert,False,,
93,animator,Robert Kirkpatrick,27-1014,Multimedia Artists and Animators,Animator
92,newspaper editor,Jennifer Peebles,False,,
95,graduate student,Jeff Hoppes,False,,
94,graduate student,Dave Oosterhuis,False,,
97,freshman at Davidson College,Amory Jendrek,False,,
96,sophomore at the University of Maryland,Casey Retterer,False,,
1177,psychologist,Joel Silbert,False,,
1176,writer,Stuart Nadler,False,,
1175,office assistant,Paul Tavianini,43-9061,"Office Clerks, General",Office Assistant
1174,elementary school principal,Barbara Walker,11-9032,"Education Administrators, Elementary and Secondary School",Elementary School Principal
1173,attorney,Glenn Jessee,23-1011,Lawyers,Attorney
1172,training specialist,Susan Goldsamt,13-1151,Training and Development Specialists,Training Specialist
1171,"from Irvine, California...",Aman Birk,False,,
1170,"from Roselle, Illinois...",Veronica Fazio,False,,
1179,private tutor,Kim Strassburger,False,,
1178,health care consultant,Luis Gutierrez,False,,
512,actuary,Bob Blake,False,,
7188,language arts middle school teacher,Marty Christy,False,,
7189,stay at home mother,Mai Do-Burrous,False,,
3431,sophomore,Eliza Urban,False,,
7180,pizza maker,Johnny Marigliano,False,,
7181,college chemistry instructor,Jean Dupon,False,,
7182,poker impresario,Ron Roberts,False,,
7183,night court clerk,Molly Rosenbusch,False,,
7184,medical student,Mike Huijon,False,,
7185,copy editor,Fred Cofone,27-3041,Editors,Copy Editor
7186,proposal writer,Kristi Springer,False,,
7187,high school social studies teacher,Roger Mueller-Kim,False,,
1227,creative marketing consultant,Leslie Burns-Dell'Acqua,False,,
875,attorney,Jim Henderson,23-1011,Lawyers,Attorney
622,TV quiz show host,Brad Rutter,False,,
3434,senior,Myles Jeffrey,False,,
621,Teen Tournament winner,Matt Zielenski,False,,
873,retired police sergeant,Jim O'Malley,False,,
620,part-time teacher,Jim Vercolen,False,,
8549,script reader,Tory Metzger,False,,
3436,senior,Caroline Bartman,False,,
8019,camp counselor and law student,John Matthews,False,,
8018,administrative assistant,Matt Bibb,False,,
8017,bookstore manager,Jennifer Hughs,False,,
8016,administrative coordinator,Felicia McGowan,False,,
8547,marketing consultant,Beth Morgan,13-1161,Market Research Analysts and Marketing Specialists,Marketing Consultant
